"source_root","relative_path","filename","extension","size_bytes","size_mb","parent_folder","category","website_priority","inspection_required","last_modified","notes"
"D:\7Z-Magic\Projects\SCMC - Ras AlKhaima - UAE\Media & Resources","20 years anniversary\pics\DSC08007.JPG","DSC08007.JPG",".jpg","8284523","7.901","D:\7Z-Magic\Projects\SCMC - Ras AlKhaima - UAE\Media & Resources\20 years anniversary\pics","CAMPAIGN","A","YES","2021-02-08 11:28:04",""
"D:\7Z-Magic\Projects\SCMC - Ras AlKhaima - UAE\Media & Resources","20 years anniversary\pics\DSC08017.JPG","DSC08017.JPG",".jpg","7062798","6.736","D:\7Z-Magic\Projects\SCMC - Ras AlKhaima - UAE\Media & Resources\20 years anniversary\pics","CAMPAIGN","A","YES","2021-02-08 11:28:56",""
"D:\7Z-Magic\Projects\SCMC - Ras AlKhaima - UAE\Media & Resources","20 years anniversary\pics\DSC08020.JPG","DSC08020.JPG",".jpg","8325082","7.939","D:\7Z-Magic\Projects\SCMC - Ras AlKhaima - UAE\Media & Resources\20 years anniversary\pics","CAMPAIGN","A","YES","2021-02-08 11:29:20",""
"D:\7Z-Magic\Projects\SCMC - Ras AlKhaima - UAE\Media & Resources","20 years anniversary\pics\DSC08023.JPG","DSC08023.JPG",".jpg","8449228","8.058","D:\7Z-Magic\Projects\SCMC - Ras AlKhaima - UAE\Media & Resources\20 years anniversary\pics","CAMPAIGN","A","YES","2021-02-08 11:29:52",""
"D:\7Z-Magic\Projects\SCMC - Ras AlKhaima - UAE\Media & Resources","20 years anniversary\pics\DSC08025.JPG","DSC08025.JPG",".jpg","8392267","8.003","D:\7Z-Magic\Projects\SCMC - Ras AlKhaima - UAE\Media & Resources\20 years anniversary\pics","CAMPAIGN","A","YES","2021-02-08 11:29:56",""
"D:\7Z-Magic\Projects\SCMC - Ras AlKhaima - UAE\Media & Resources","20 years anniversary\pics\DSC08029.JPG","DSC08029.JPG",".jpg","7547785","7.198","D:\7Z-Magic\Projects\SCMC - Ras AlKhaima - UAE\Media & Resources\20 years anniversary\pics","CAMPAIGN","A","YES","2021-02-08 11:30:08",""
"D:\7Z-Magic\Projects\SCMC - Ras AlKhaima - UAE\Media & Resources","20 years anniversary\pics\DSC08032.JPG","DSC08032.JPG",".jpg","7946148","7.578","D:\7Z-Magic\Projects\SCMC - Ras AlKhaima - UAE\Media & Resources\20 years anniversary\pics","CAMPAIGN","A","YES","2021-02-08 11:30:24",""
"D:\7Z-Magic\Projects\SCMC - Ras AlKhaima - UAE\Media & Resources","20 years anniversary\pics\DSC08037.JPG","DSC08037.JPG",".jpg","6213890","5.926","D:\7Z-Magic\Projects\SCMC - Ras AlKhaima - UAE\Media & Resources\20 years anniversary\pics","CAMPAIGN","A","YES","2021-02-08 11:31:00",""
"D:\7Z-Magic\Projects\SCMC - Ras AlKhaima - UAE\Media & Resources","20 years anniversary\pics\DSC08038.JPG","DSC08038.JPG",".jpg","7081070","6.753","D:\7Z-Magic\Projects\SCMC - Ras AlKhaima - UAE\Media & Resources\20 years anniversary\pics","CAMPAIGN","A","YES","2021-02-08 11:31:02",""
"D:\7Z-Magic\Projects\SCMC - Ras AlKhaima - UAE\Media & Resources","20 years anniversary\pics\DSC08040.JPG","DSC08040.JPG",".jpg","6462421","6.163","D:\7Z-Magic\Projects\SCMC - Ras AlKhaima - UAE\Media & Resources\20 years anniversary\pics","CAMPAIGN","A","YES","2021-02-08 11:31:10",""
