"priority","asset_or_document","path","type","reason_for_review","recommended_review_method"
"A","العروسه v2.MP4","D:\7Z-Magic\Projects\SCMC - Ras AlKhaima - UAE\Media & Resources\20 years anniversary\داتا السنوية\videos\العروسه v2.MP4","CAMPAIGN","Potential production website asset based on path and filename metadata","content inspection"
"A","Copy of افنت اسناتن كالابطال.mp4","D:\7Z-Magic\Projects\SCMC - Ras AlKhaima - UAE\Media & Resources\20 years anniversary\داتا السنوية\videos\Copy of افنت اسناتن كالابطال.mp4","CAMPAIGN","Potential production website asset based on path and filename metadata","content inspection"
"A","Copy of ليش حنان ترجمة 02.mp4","D:\7Z-Magic\Projects\SCMC - Ras AlKhaima - UAE\Media & Resources\20 years anniversary\داتا السنوية\videos\Copy of ليش حنان ترجمة 02.mp4","CAMPAIGN","Potential production website asset based on path and filename metadata","content inspection"
"A","0820.mp4","D:\7Z-Magic\Projects\SCMC - Ras AlKhaima - UAE\Media & Resources\20 years anniversary\داتا السنوية\videos\0820.mp4","CAMPAIGN","Potential production website asset based on path and filename metadata","content inspection"
"A","Copy of MOVIE NIGHT  V04.mp4","D:\7Z-Magic\Projects\SCMC - Ras AlKhaima - UAE\Media & Resources\20 years anniversary\داتا السنوية\videos\Copy of MOVIE NIGHT  V04.mp4","CAMPAIGN","Potential production website asset based on path and filename metadata","content inspection"
"A","IMG_9719.MP4","D:\7Z-Magic\Projects\SCMC - Ras AlKhaima - UAE\Media & Resources\20 years anniversary\داتا السنوية\videos\IMG_9719.MP4","CAMPAIGN","Potential production website asset based on path and filename metadata","content inspection"
"A","2024-09-11 12-09-02 RUQ0 1920x1080 30fps.mov","D:\7Z-Magic\Projects\SCMC - Ras AlKhaima - UAE\Media & Resources\20 years anniversary\داتا السنوية\Surprise\2024-09-11 12-09-02 RUQ0 1920x1080 30fps.mov","CAMPAIGN","Potential production website asset based on path and filename metadata","content inspection"
"A","Copy of اكثر موقف نائل متزجم.mp4","D:\7Z-Magic\Projects\SCMC - Ras AlKhaima - UAE\Media & Resources\20 years anniversary\داتا السنوية\videos\Copy of اكثر موقف نائل متزجم.mp4","CAMPAIGN","Potential production website asset based on path and filename metadata","content inspection"
"A","Copy of Eid V02.mp4","D:\7Z-Magic\Projects\SCMC - Ras AlKhaima - UAE\Media & Resources\20 years anniversary\داتا السنوية\videos\Copy of Eid V02.mp4","CAMPAIGN","Potential production website asset based on path and filename metadata","content inspection"
"A","IMG_5974.MP4","D:\7Z-Magic\Projects\SCMC - Ras AlKhaima - UAE\Media & Resources\20 years anniversary\داتا السنوية\videos\IMG_5974.MP4","CAMPAIGN","Potential production website asset based on path and filename metadata","content inspection"
"A","Copy of الام توزيع ورود01.mp4","D:\7Z-Magic\Projects\SCMC - Ras AlKhaima - UAE\Media & Resources\20 years anniversary\داتا السنوية\videos\Copy of الام توزيع ورود01.mp4","CAMPAIGN","Potential production website asset based on path and filename metadata","content inspection"
"A","2024-09-11 13-59-39 NUQY 1920x1080 30fps(1).mov","D:\7Z-Magic\Projects\SCMC - Ras AlKhaima - UAE\Media & Resources\20 years anniversary\داتا السنوية\Prepare for 17th\2024-09-11 13-59-39 NUQY 1920x1080 30fps(1).mov","CAMPAIGN","Potential production website asset based on path and filename metadata","content inspection"
"A","2024-09-11 13-59-39 NUQY 1920x1080 30fps.mov","D:\7Z-Magic\Projects\SCMC - Ras AlKhaima - UAE\Media & Resources\20 years anniversary\داتا السنوية\Prepare for 17th\2024-09-11 13-59-39 NUQY 1920x1080 30fps.mov","CAMPAIGN","Potential production website asset based on path and filename metadata","content inspection"
"A","IMG_5977.MP4","D:\7Z-Magic\Projects\SCMC - Ras AlKhaima - UAE\Media & Resources\20 years anniversary\داتا السنوية\videos\IMG_5977.MP4","CAMPAIGN","Potential production website asset based on path and filename metadata","content inspection"
"A","Copy of اكثر موقف - حنان ترجمة.mp4","D:\7Z-Magic\Projects\SCMC - Ras AlKhaima - UAE\Media & Resources\20 years anniversary\داتا السنوية\videos\Copy of اكثر موقف - حنان ترجمة.mp4","CAMPAIGN","Potential production website asset based on path and filename metadata","content inspection"
"A","IMG_6908.MP4","D:\7Z-Magic\Projects\SCMC - Ras AlKhaima - UAE\Media & Resources\20 years anniversary\داتا السنوية\videos\IMG_6908.MP4","CAMPAIGN","Potential production website asset based on path and filename metadata","content inspection"
"A","IMG_5975.MP4","D:\7Z-Magic\Projects\SCMC - Ras AlKhaima - UAE\Media & Resources\20 years anniversary\داتا السنوية\videos\IMG_5975.MP4","CAMPAIGN","Potential production website asset based on path and filename metadata","content inspection"
"A","Copy of 17 yares V04.mp4","D:\7Z-Magic\Projects\SCMC - Ras AlKhaima - UAE\Media & Resources\20 years anniversary\داتا السنوية\videos\Copy of 17 yares V04.mp4","CAMPAIGN","Potential production website asset based on path and filename metadata","content inspection"
"A","0820 (1).mp4","D:\7Z-Magic\Projects\SCMC - Ras AlKhaima - UAE\Media & Resources\20 years anniversary\داتا السنوية\videos\0820 (1).mp4","CAMPAIGN","Potential production website asset based on path and filename metadata","content inspection"
"A","Copy of اهلا رمضان.mp4","D:\7Z-Magic\Projects\SCMC - Ras AlKhaima - UAE\Media & Resources\20 years anniversary\داتا السنوية\videos\Copy of اهلا رمضان.mp4","CAMPAIGN","Potential production website asset based on path and filename metadata","content inspection"
"A","Copy of ahlan 03 .mp4","D:\7Z-Magic\Projects\SCMC - Ras AlKhaima - UAE\Media & Resources\20 years anniversary\داتا السنوية\videos\Copy of ahlan 03 .mp4","CAMPAIGN","Potential production website asset based on path and filename metadata","content inspection"
"A","2024-09-11 12-07-45 NUJD 1920x1080 30fps.mov","D:\7Z-Magic\Projects\SCMC - Ras AlKhaima - UAE\Media & Resources\20 years anniversary\داتا السنوية\Surprise\2024-09-11 12-07-45 NUJD 1920x1080 30fps.mov","CAMPAIGN","Potential production website asset based on path and filename metadata","content inspection"
"A","copy_0CAEE7A8-9B2E-4740-A8B2-2B1367E48C06.MOV","D:\7Z-Magic\Projects\SCMC - Ras AlKhaima - UAE\Media & Resources\20 years anniversary\داتا السنوية\videos\copy_0CAEE7A8-9B2E-4740-A8B2-2B1367E48C06.MOV","CAMPAIGN","Potential production website asset based on path and filename metadata","content inspection"
"A","5.mp4","D:\7Z-Magic\Projects\SCMC - Ras AlKhaima - UAE\Media & Resources\20 years anniversary\داتا السنوية\داتا سنوات قديمة\videos\5.mp4","CAMPAIGN","Potential production website asset based on path and filename metadata","content inspection"
"A","IMG_4526.mov","D:\7Z-Magic\Projects\SCMC - Ras AlKhaima - UAE\Media & Resources\20 years anniversary\pics\Smile care\IMG_4526.mov","CAMPAIGN","Potential production website asset based on path and filename metadata","content inspection"
"A","17b75738e96942ffa7ccd4332c41fcf3.MOV","D:\7Z-Magic\Projects\SCMC - Ras AlKhaima - UAE\Media & Resources\20 years anniversary\داتا السنوية\videos\17b75738e96942ffa7ccd4332c41fcf3.MOV","CAMPAIGN","Potential production website asset based on path and filename metadata","content inspection"
"A","DraftResource_1771435330.903205.MOV","D:\7Z-Magic\Projects\SCMC - Ras AlKhaima - UAE\Media & Resources\20 years anniversary\داتا السنوية\videos\DraftResource_1771435330.903205.MOV","CAMPAIGN","Potential production website asset based on path and filename metadata","content inspection"
"A","2.mp4","D:\7Z-Magic\Projects\SCMC - Ras AlKhaima - UAE\Media & Resources\20 years anniversary\داتا السنوية\داتا سنوات قديمة\videos\2.mp4","CAMPAIGN","Potential production website asset based on path and filename metadata","content inspection"
"A","IMG_4527.mov","D:\7Z-Magic\Projects\SCMC - Ras AlKhaima - UAE\Media & Resources\20 years anniversary\pics\Smile care\IMG_4527.mov","CAMPAIGN","Potential production website asset based on path and filename metadata","content inspection"
"A","Copy of سؤال بيشنت تعقيم.mp4","D:\7Z-Magic\Projects\SCMC - Ras AlKhaima - UAE\Media & Resources\20 years anniversary\داتا السنوية\videos\Copy of سؤال بيشنت تعقيم.mp4","CAMPAIGN","Potential production website asset based on path and filename metadata","content inspection"
"A","IMG_4525.mov","D:\7Z-Magic\Projects\SCMC - Ras AlKhaima - UAE\Media & Resources\20 years anniversary\pics\Smile care\IMG_4525.mov","CAMPAIGN","Potential production website asset based on path and filename metadata","content inspection"
"A","IMG_7756.MOV","D:\7Z-Magic\Projects\SCMC - Ras AlKhaima - UAE\Media & Resources\20 years anniversary\داتا السنوية\Phone videos\IMG_7756.MOV","CAMPAIGN","Potential production website asset based on path and filename metadata","content inspection"
"A","IMG_6024.MOV","D:\7Z-Magic\Projects\SCMC - Ras AlKhaima - UAE\Media & Resources\20 years anniversary\داتا السنوية\Surprise\IMG_6024.MOV","CAMPAIGN","Potential production website asset based on path and filename metadata","content inspection"
"A","copy_D70D68DA-D848-4862-A88E-EB243137801A.MOV","D:\7Z-Magic\Projects\SCMC - Ras AlKhaima - UAE\Media & Resources\20 years anniversary\داتا السنوية\videos\copy_D70D68DA-D848-4862-A88E-EB243137801A.MOV","CAMPAIGN","Potential production website asset based on path and filename metadata","content inspection"
"A","IMG_7869.MOV","D:\7Z-Magic\Projects\SCMC - Ras AlKhaima - UAE\Media & Resources\20 years anniversary\داتا السنوية\سنوية 18\IMG_7869.MOV","CAMPAIGN","Potential production website asset based on path and filename metadata","content inspection"
"A","2024-09-11 12-06-48 NDE2 1920x1080 30fps.mov","D:\7Z-Magic\Projects\SCMC - Ras AlKhaima - UAE\Media & Resources\20 years anniversary\داتا السنوية\Surprise\2024-09-11 12-06-48 NDE2 1920x1080 30fps.mov","CAMPAIGN","Potential production website asset based on path and filename metadata","content inspection"
"A","copy_F975C09E-A107-43C3-BBD8-9CF3BF9677D2.MOV","D:\7Z-Magic\Projects\SCMC - Ras AlKhaima - UAE\Media & Resources\20 years anniversary\داتا السنوية\videos\copy_F975C09E-A107-43C3-BBD8-9CF3BF9677D2.MOV","CAMPAIGN","Potential production website asset based on path and filename metadata","content inspection"
"A","Copy of يوم العلم.mp4","D:\7Z-Magic\Projects\SCMC - Ras AlKhaima - UAE\Media & Resources\20 years anniversary\داتا السنوية\videos\Copy of يوم العلم.mp4","CAMPAIGN","Potential production website asset based on path and filename metadata","content inspection"
"A","IMG_5976.MP4","D:\7Z-Magic\Projects\SCMC - Ras AlKhaima - UAE\Media & Resources\20 years anniversary\داتا السنوية\videos\IMG_5976.MP4","CAMPAIGN","Potential production website asset based on path and filename metadata","content inspection"
"A","2024-09-11 12-47-01 QJND 1920x1080 30fps.mov","D:\7Z-Magic\Projects\SCMC - Ras AlKhaima - UAE\Media & Resources\20 years anniversary\داتا السنوية\Prepare for 17th\2024-09-11 12-47-01 QJND 1920x1080 30fps.mov","CAMPAIGN","Potential production website asset based on path and filename metadata","content inspection"
"A","2024-09-11 12-49-00 RUQ5 1920x1080 30fps.mov","D:\7Z-Magic\Projects\SCMC - Ras AlKhaima - UAE\Media & Resources\20 years anniversary\داتا السنوية\Prepare for 17th\2024-09-11 12-49-00 RUQ5 1920x1080 30fps.mov","CAMPAIGN","Potential production website asset based on path and filename metadata","content inspection"
"A","IMG_6022.MOV","D:\7Z-Magic\Projects\SCMC - Ras AlKhaima - UAE\Media & Resources\20 years anniversary\داتا السنوية\Surprise\IMG_6022.MOV","CAMPAIGN","Potential production website asset based on path and filename metadata","content inspection"
"A","IMG_6026.MOV","D:\7Z-Magic\Projects\SCMC - Ras AlKhaima - UAE\Media & Resources\20 years anniversary\داتا السنوية\Surprise\IMG_6026.MOV","CAMPAIGN","Potential production website asset based on path and filename metadata","content inspection"
"A","IMG_6025.MOV","D:\7Z-Magic\Projects\SCMC - Ras AlKhaima - UAE\Media & Resources\20 years anniversary\داتا السنوية\Surprise\IMG_6025.MOV","CAMPAIGN","Potential production website asset based on path and filename metadata","content inspection"
